,City,State,Type,Population [2011],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases
0,Mumbai,Maharashtra,MC,12442373.0,878.0,23.0,32.0,MEDIUM,219.0,150.0,0.7004395374251806,10924403.0,159.0,4408916.0,163115
1,Delhi,Delhi,MC,11007835.0,858.0,27.0,30.0,MEDIUM,215.0,196.0,0.9200182321815967,9444722.0,148.0,2379169.0,80188
2,Bangalore,Karnataka,MPUA,8436675.0,936.0,28.0,37.0,HIGH,212.0,102.0,0.09708525131204238,7896728.0,123.0,636502.0,141000
3,Hyderabad,Telangana,MPUA,6809970.0,930.0,23.0,31.0,MEDIUM,217.0,118.0,0.827744291890547,6333272.0,110.0,126078.0,55123
4,Ahmedabad,Gujarat,MPUA,5570585.0,852.0,29.0,25.0,LOW,227.0,109.0,0.8479413943777442,4746138.0,73.0,284973.0,33204
5,Chennai,Tamil Nadu,MPUA,4681087.0,904.0,26.0,31.0,HIGH,210.0,179.0,0.536995000741445,4231703.0,67.0,4684707.0,145606
6,Chennai,Tamil Nadu,T,4646732.0,912.0,26.0,30.0,MEDIUM,145.0,177.0,0.09345072893573847,4237820.0,55.0,4684707.0,145606
7,Kolkata,West Bengal,MPUA,4486679.0,945.0,26.0,37.0,HIGH,96.0,150.5082508250825,0.47358466437454605,4239912.0,82.0,1489500.0,44957
8,Surat,Gujarat,MPUA,4467797.0,788.0,27.0,26.0,HIGH,96.0,150.5082508250825,0.809333657964599,3797627.0,98.0,284973.0,23432
9,Pune,Maharashtra,MPUA,3124458.0,915.0,29.0,29.0,HIGH,96.0,150.5082508250825,0.4459024445060996,2743274.0,50.0,4408916.0,218502
10,Jaipur,Rajasthan,MPUA,3046163.0,871.0,26.0,32.0,HIGH,128.0,172.0,0.8898949405315535,2653208.0,61.0,1475311.0,14001
11,Lucknow,Uttar Pradesh,MPUA,2817105.0,882.0,24.0,33.0,HIGH,123.0,176.0,0.4647456003405156,2484687.0,58.0,3104060.0,37220
12,Indore,Madhya Pradesh,M,2800000.0,919.0,25.0,34.0,LOW,116.0,142.0,0.8154657624482068,2573200.0,56.0,421365.0,15764
13,Kanpur,Uttar Pradesh,MPUA,2765348.0,861.0,26.0,29.0,HIGH,135.0,122.0,0.05314696224735449,2380965.0,94.0,3104060.0,22413
14,Nagpur,Maharashtra,MPUA,2405665.0,878.0,26.0,35.0,MEDIUM,100.0,136.0,0.010730139678927664,2112174.0,52.0,4408916.0,44700
15,Indore,Madhya Pradesh,MPUA,1964086.0,929.0,26.0,37.0,MEDIUM,149.0,172.0,0.8843444798640407,1824636.0,76.0,421365.0,15764
16,Thane,Maharashtra,MPUA,1841488.0,878.0,26.0,32.0,LOW,119.0,199.0,0.7278360106304578,1616826.0,90.0,4408916.0,150793
17,Bhopal,Madhya Pradesh,MPUA,1798218.0,926.0,26.0,35.0,LOW,113.0,185.0,0.3331713087186712,1665150.0,72.0,421365.0,12446
